Hisse,Adi,Sektor,Alt Grup,Aciklama,Beta,FiyatKazanc Orani,PDDD Orani,FiyatSatis Orani,Kar Marji (%),Dolasimdaki Lot,Toplam Gelir,Net Kar,Son Kapanis Fiyati,52 Hafta En Yuksek,52 Hafta En Dusuk,Ortalama Hacim (10 gun),Piyasa Degeri,Son Fiyat,1 Ay Degisim (%),3 Ay Degisim (%),6 Ay Degisim (%),1 Yil Degisim (%),5 Yil Degisim (%),Volatilite
KRGYO.IS,KORFEZ GMYO,Real Estate,REIT - Residential,"Korfez Gayrimenkul Yatirim Ortakligi A.S. develops and markets real estate projects in Turkey. The company is headquartered in Istanbul, Turkey. Korfez Gayrimenkul Yatirim Ortakligi A.S. operates as a subsidiary of Kuveyt Turk Katilim Bankasi A.S.",0.825,13.689655,0.47026768,25.537237,186.874,330000000.0,102603112.0,191738528.0,8.1,10.75,4.356,4797566.0,2620199936.0,7.940000057220459,7.58807498774632,18.649135704137503,50.6069860444629,47.03703549990768,1704.5454773282218,0.667946471354748
KRONT.IS,KRON TEKNOLOJI,Technology,Software - Infrastructure,"Kron Teknoloji A.S. provides technology solutions for the operational efficiency and security needs of the corporates in the finance, energy, healthcare, and telecommunications sectors worldwide. It offers Kron PAM, a privileged access management suite; Kron PAM Password Vault, a centralized password management; Privileged Session Manager that monitors and controls privileged sessions on critical systems; Database Access Manager, a single point of access control management for the database layer and secures data access; Privileged Task Automation that provides a single interface to configure the ability of network business flows; Endpoint Privileged Management that allows IT administrators to control and monitor privileged users; User Behavior Analytics, which monitors user behavior and sessions; Multi-Factor Authentication that enhances data access security; Unified Access Manager, which offers built-in and pre-integrated TACACS+ and RADIUS servers that provide authentication, authorization, and accounting (AAA) services; and AAA Server & Subscriber Management, an authorization, authentication, and accounting platform. The company also provides Dynamic Data Masking that manages database access from a single point and provides role-based masking rules to restrict access to sensitive data; Data Stream Processing, which enhances high-capacity stream analytics, logging and pipeline solution with zero-loss architecture for security, monitoring, and regulation observability; Kron NPM, an network monitoring product; Quality Assurance, a distributed platform that enables scenario & model-driven proactive network and service quality measurements; and Network Configuration Management, which helps automate and take total control of the entire device configuration management. Kron Teknoloji A.S. was incorporated in 2005 and is headquartered in Istanbul, Turkey.",0.617,92.52174,5.8269444,5.9065523,8.3050005,85611104.0,308437856.0,25615204.0,21.24,30.74,13.2,367885.0,1821804288.0,21.280000686645508,-9.059824642928437,9.803929866649948,3.300972294095006,68.75496642362971,852.6836966412365,0.6107992864066598
KRPLS.IS,KOROPLAST TEMIZLIK AMBALAJ,Consumer Defensive,Household & Personal Products,"Koroplast Temizlik Ambalaj Urunleri Sanayi ve Dis Ticaret A.S. produces and sells cleaning and packaging materials and garbage bags in various industries in Turkey. It offers strong, scented, scented drawstring, non-domestic consumer goods, cling film, oven bags, baking paper, compostable waste bags, polyethylene cling films, recycling bags, degradable trash bags, as well as cat litter bags, poop bags, and pet food bags; and cooking products, such as cooking papers, wrap and cook products, roasting bags, and microwave steam cooking bags. The company also provides storage products, including freezer and cooler, zipper, slider, ice cube, breast milk storage, and other storage bags, as well as cling films, aluminum foils, protective covers, and multi-purpose bags; and cleaning products comprising sponges, cleaning cloths, cleaning sets, wet towels, cleaning gloves, and scouring wires. In addition, it is involved in the machinery and installations, spare parts, contract manufacturing, importing, exporting, marketing, and trading activities. The company was founded in 1981 and is based in Istanbul, Turkey. Koroplast Temizlik Ambalaj Urunleri Sanayi ve Dis Ticaret A.S. is a subsidiary of Korozo Ambalaj Sanayi Ve Ticaret Anonim Sirketi.",0.069,97.50001,2.263494,1.3518959,-4.459,174600000.0,1007385280.0,-44915368.0,7.78,10.45,6.3,3993535.0,1361880064.0,7.800000190734863,1.2987062850235354,11.269613923807816,-0.3831383558557187,11.747853430095295,52.81209508889244,0.4904720429731146
KRSTL.IS,KRISTAL KOLA,Consumer Defensive,Beverages - Non-Alcoholic,"Kristal Kola ve Mesrubat Sanayi Ticaret A.S. engages in the production and sale of soft drinks in Turkey and internationally. It offers sodad beverages, spring water, non-coggated beverages, mineral water, energy drink, and balsa soda. The company distributes and markets its products through distributor companies and dealers under the Kristal COLA, CHAT COLA, HOT LINE, Kristal, Balsa, and Rival brand names. Kristal Kola ve Mesrubat Sanayi Ticaret A.S. was founded in 1994 and is based in Istanbul, Turkey.",0.13753333333333334,13.25,1.0418155,0.7639643,5.732,192000000.0,1465199360.0,83984576.0,5.69,15.27,5.1,3519231.0,1119360000.0,5.829999923706055,1.0398603635680874,8.163266569936841,-20.572209775083586,-47.94642836615747,395.416743275283,0.6391124261480178
KRTEK.IS,KARSU TEKSTIL,Consumer Cyclical,Textile Manufacturing,"Karsu Tekstil Sanayii ve Ticaret A.S. engages in the production and sale of yarns in Turkey. The company offer modal, tencel, viscose, bamboo, viloft, cotton, linen, silk, cashmere, wool, and mélange fashion yarns; and umorfil, coolmax, thermolite, seacell, smartcel, trevira, pes, acrylic, and nylon functional yarns. It provides lenzing FR, modacrylic, kermel, twaron, technora, meta-aramid, and para-aramid technical yarns; and knitting and weaving fabrics. Karsu Tekstil Sanayii ve Ticaret A.S. was incorporated in 1973 and is based in Kayseri, Turkey.",0.908,272758.92834240035,1.0568911,0.9709959,-19.827,35100500.0,1435114112.0,-284533600.0,38.8,43.82,23.74,797477.0,1393489920.0,39.70000076293945,38.81118962733143,54.23465857014208,30.850364414230857,67.51054634993842,1193.159662091748,0.6111287481020354
KRVGD.IS,KERVAN GIDA,Consumer Defensive,Confectioners,"Kervan Gida Sanayi ve Ticaret A.S. produces and sells candies in Turkey. The company provides soft and hard candy, chewing gum, degree chocolate, jelly, licorice, and marshmallow products, as well as surprise eggs and toy products. It also exports its products under the Bebeto and Cosby brand name. Kervan Gida Sanayi ve Ticaret A.S. was incorporated in 1994 is headquartered in Istanbul, Turkey.",0.13753333333333334,32.857143,0.99095213,0.6108971,1.7399999999999998,2159980032.0,8132227072.0,141508000.0,2.29,3.755555,2.07,18503562.0,4967953920.0,2.299999952316284,3.603600120498037,2.222220102945964,-17.222684293863146,7.820637870755378,122.68140114164945,0.4636826852526176
KSTUR.IS,KUSTUR KUSADASI TURIZM,Consumer Cyclical,Lodging,"Kustur Kusadasi Turizm Endustrisi A.S. operates holiday clubs in Turkey. The company's clubs include restaurants, bars, pools and beaches, mini club, animation and sports, and spa and wellness facilities. It also provides standard, superior, garden, family, and suite rooms. Kustur Kusadasi Turizm Endustrisi A.S. was incorporated in 1966 and is based in Aydin, Turkey.",1.129,10089.286,25.024582,45.600037,54.81,4244590.0,262959568.0,144129408.0,2762.5,10000.0,1670.0,1190.0,11990966272.0,2825.0,-6.146179401993355,-11.163522012578616,-59.61401000714797,73.45568310879497,14216.370814474258,0.8337316031419636
KTLEV.IS,KATILIMEVIM TAS. FIN.,Financial Services,Credit Services,"Katilimevim Tasarruf Finansman Anonim Sirketi provides savings finance to buy houses and cars in Turkey. The company was incorporated in 2018 and is based in Istanbul, Turkey.",0.6029491525423728,5.7831326,8.167053,3.8519306,55.41199999999999,180000000.0,2467334144.0,1367205888.0,52.75,202.0,37.92,11321764.0,9504000000.0,90877.0818181923,-11.111114678916168,3.124996973201678,12.48402382146046,-23.06831262453763,7562.622679222028,0.6316220930873945
KTSKR.IS,KUTAHYA SEKER FABRIKASI,Consumer Defensive,Confectioners,"Kutahya Seker Fabrikasi A.S. produces and sells crustal sugar from beet in Turkey. The company was founded in 1953 and is headquartered in Kutahya, Turkey.",0.862,10.618467,0.9701552,1.8967942,13.514,46000000.0,1478125568.0,199747520.0,60.75,90.0,54.4,358459.0,2803699968.0,60.95000076293945,-3.253967042953249,0.0,-13.052778759416888,2.7824646662857115,234.40426626258844,0.6023076397695747
KUTPO.IS,KUTAHYA PORSELEN,Consumer Cyclical,"Furnishings, Fixtures & Appliances","Kutahya Porselen Sanayi Anonim Sirketi primarily produces and sells porcelain, tableware, and ornamental and packaging materials in Turkey and internationally. The company provides dinner, breakfast, cutlery set, tabletop, single, and kids dinning sets; cooking and drinking group products; tea and coffee sets; and mugs. It also offers horeca products, such as porcelain and cream collections; and bone horcea products. Kutahya Porselen Sanayi Anonim Sirketi was incorporated in 1965 and is headquartered in Kutahya, Turkey.",1.145,1110.7142,1.5198014,1.2837527,0.63300002,39916800.0,2417545984.0,15310641.0,77.0,121.9,52.4,341369.0,3103531264.0,77.75,2.101114172108517,0.3225806451612903,-18.84133870226074,49.089161505426524,1079.817878600012,0.6261247929398909
